time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,soil_moisture_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2009-11-15,7.638220628980637,61.60108389662162,69.23930452560225,53.096427126908324,32.57843891267833,0.03380766185455428,45.72660290001871,36.800000000000004,141.15247759625058,50.26134012290983,76.53817235964007,287.47173022511737,437.81019466067727,374.8016554421566,27.56608350119671,320.9433,6.8654523,385.19,171.08186,317.5937,12.340557,10.0,11.0,0.38238794,1.1057142,53.874863,38.218105,,2.2966306,3.477608,11.900397,0.16160916,1085.7351,1.2188166,15.160745,0.1568178,15.233797,0.15319107,26.22116,1.0512412,32.103138,1.0200537,34.975227,132.3706,-15.2588
2009-12-15,-5.305282027199999,92.0401007004,86.73481867320001,73.94315230681448,31.50068828433727,0.06841821833142986,59.11591528958275,157.55555555555554,145.94961217835882,67.73705141129034,63.536479569892464,256.74228223154597,446.68211356552956,365.1213079715341,19.50128367159829,320.9433,6.8654523,385.107,171.08186,315.0544,10.885708,10.0,12.0,0.39947242,1.013704,53.874863,38.218105,,2.2966306,3.477608,279.87192,1.4853477,1110.3483,1.241083,292.1504,1.031154,295.1057,1.0199517,24.202814,0.9982556,31.018711,1.0098593,26.052938,132.3706,-15.2588
2010-01-15,-15.922589018362439,122.80880489818595,106.88621587982352,90.08541612881605,30.029882515991453,0.09831136840927888,72.44392243427798,204.4,154.5642267308488,82.52448365205461,36.5208764259345,241.2474406423705,449.0078983449775,366.81246879824965,12.05550458732237,320.9433,5.143793,385.073,171.08186,311.40567,8.762388,10.0,1.0,0.51192415,1.1253213,52.281654,42.88473,,2.2966306,6.380073,242.24467,1.0389599,898.96857,1.0031489,534.01697,1.0929279,537.2903,1.0448161,21.973845,0.9552806,29.493288,0.98977643,16.431303,132.3706,-15.2588
2010-02-15,-31.11834661872869,141.9909864384828,110.8726398197541,101.63932444933474,29.740476279761907,0.12091272058779763,74.21564427090938,246.2111111111111,168.80522746648273,103.084592621068,28.367606231774538,261.94103104986755,446.5466983630952,367.9892615240827,11.089054270365468,320.9433,5.143793,384.816,171.08186,309.5214,6.735071,10.0,2.0,0.5306407,1.0654767,52.281654,42.88473,,2.2966306,6.380073,223.48293,1.0162705,821.6822,0.92435676,745.5995,1.1760694,760.76025,1.0410686,23.73214,1.0265585,29.636328,1.0093365,17.31651,132.3706,-15.2588
2010-03-15,-39.44739458936918,143.5123275034355,104.06493291406633,112.58518826177527,29.47472151209677,0.07805411905913978,66.0956004680073,51.50000000000001,166.7211195562801,103.13583404984014,28.587904384049835,272.762470562621,429.0334801747312,377.1188566372248,14.353545215155759,320.9433,5.143793,384.719,171.08186,307.12094,5.1684017,10.0,3.0,0.5461586,1.0606834,52.281654,42.88473,,2.2966306,6.380073,22.759539,0.17576155,783.728,0.8810981,488.48715,0.8437862,780.6375,0.90964305,23.872976,1.0415889,28.802546,0.99103147,20.48669,132.3706,-15.2588
2010-04-15,-34.54366757644595,129.66211746569294,95.11844988924699,78.9784161165934,29.024882405732438,0.05590160449371876,67.14060551922582,14.28888888888889,140.3973595396471,74.76135871283701,33.54700496759452,236.86795937891807,430.74504563043655,366.6158620534075,13.54458169452915,320.9433,5.143793,385.017,171.08186,308.9866,7.1937313,10.0,4.0,0.5118273,1.0194672,52.281654,42.88473,,2.2966306,6.380073,38.62469,1.7095999,822.2175,0.9239608,284.86716,0.7655522,818.8841,0.9513964,21.393663,0.94340754,28.642878,1.038633,20.866528,132.3706,-15.2588
2010-05-15,-19.57483349674854,115.80863595874854,96.233802462,62.686429107446266,26.57099127016129,0.0660793225,65.19422455946912,46.199999999999996,96.97564659535408,57.42511292489178,31.458125971003746,186.23649013561425,413.31931733870965,366.0500671816996,12.38458836575945,320.9433,5.143793,385.399,171.08186,305.94534,6.629139,10.0,5.0,0.49593425,1.0616587,52.281654,42.88473,,2.2966306,6.380073,30.847572,14.883907,853.0651,0.9586734,92.231804,0.58600086,837.8313,1.0587131,18.328676,0.9032086,26.16621,1.055497,18.807114,132.3706,-15.2588
2010-06-15,-40.12300222880683,119.0115247989245,78.88852257011766,59.1794375216756,22.5151531875,0.057499302631944436,49.035239846614594,0.6,101.58316236111112,56.01954780215403,41.128951719510454,223.11112869036887,354.78684340277783,381.4228340045945,14.144887251272754,320.9433,5.143793,385.903,171.08186,301.15854,6.304329,10.0,6.0,0.48025402,1.1094568,52.281654,42.88473,,2.2966306,6.380073,0.0,0.0,853.0651,0.95857894,69.47226,2.6310444,557.9594,0.9217475,18.947891,0.99715656,21.704216,0.98267955,20.1238,132.3706,-15.2588
2010-07-15,-24.37763085394733,102.71769536938007,78.34006451543273,47.53915854392382,24.928345329301077,0.041759124811827954,51.4378737274707,20.299999999999997,99.95562350705644,43.54916345705327,48.35091160981546,210.08443246084008,385.69193864247313,389.9841046334311,15.63800264937991,320.9433,5.143793,386.569,171.08186,305.08652,7.712435,10.0,7.0,0.4336714,1.0827167,52.281654,42.88473,,2.2966306,6.380073,0.43038017,0.3479297,853.43536,0.9579672,31.277952,6.903142,316.1451,0.8393879,18.221434,0.9400798,24.224089,1.1110768,20.307816,132.3706,-15.2588
2010-08-15,-14.517669456547582,84.42540873945222,69.90773928290464,37.45277564674771,25.915873575268815,0.038359585510752685,36.21991528513155,0.0,116.03164747710449,34.309337786312796,65.06045367947347,253.6484095784812,373.4727658602151,390.74385920578146,21.81147363127889,320.9433,5.143793,387.212,171.08186,308.00363,10.436668,10.0,8.0,0.3866154,1.0754622,52.281654,42.88473,,2.2966306,6.380073,0.3296612,1.0769589,853.7521,0.9582953,0.76004136,0.2748149,92.991844,0.5806273,21.730955,0.97484016,24.41697,1.0351515,25.926584,132.3706,-15.2588
